CustomerID,Gender,Age,MaritalStatus,AtFaultAccidents,MovingViolations,CompClaims,NumberOfClaims,LatePayments,PaymentMethod
6692,F,41,M,0,Yes,No,0,No,Annual Billing
1440,M,66,M,0,Yes,Yes,4,Yes,Annual Billing
5676,F,60,M,0,Yes,Yes,1,No,Bank Transfer
4881,M,56,M,2,Yes,Yes,2,No,Annual Billing
9572,M,61,S,0,Yes,Yes,1,Yes,Monthly Billing
1853,M,31,M,0,Yes,No,0,Yes,Annual Billing
7496,F,48,S,0,Yes,Yes,1,Yes,Bank Transfer
5092,M,55,S,0,Yes,Yes,5,No,Bank Transfer
1993,F,17,S,0,Yes,Yes,3,Yes,Bank Transfer
2043,F,47,M,0,Yes,Yes,2,No,Monthly Billing
1952,F,72,M,1,Yes,Yes,1,No,Annual Billing
6830,F,61,M,2,Yes,Yes,5,No,Monthly Billing
4848,M,43,M,0,Yes,Yes,1,Yes,Monthly Billing
9342,F,17,S,2,Yes,No,2,No,Annual Billing
7600,F,46,S,0,Yes,Yes,2,No,Annual Billing
2611,F,26,S,0,Yes,No,0,Yes,Bank Transfer
9504,F,34,M,0,No,No,0,No,Monthly Billing
1493,F,21,S,2,Yes,Yes,3,No,Annual Billing
5311,F,22,M,2,Yes,No,2,Yes,Bank Transfer
8904,M,41,S,0,Yes,No,0,Yes,Monthly Billing
5663,M,23,S,1,Yes,Yes,4,No,Bank Transfer
2164,F,45,M,0,Yes,Yes,4,Yes,Monthly Billing
3017,F,65,S,0,Yes,Yes,3,Yes,Monthly Billing
2343,M,42,M,0,Yes,Yes,1,No,Annual Billing
5635,M,70,M,0,Yes,Yes,1,Yes,Bank Transfer
1151,F,60,M,0,Yes,Yes,4,No,Monthly Billing
4095,M,49,S,0,Yes,Yes,1,No,Annual Billing
7431,M,38,S,0,Yes,No,0,Yes,Monthly Billing
4257,M,36,M,0,Yes,Yes,2,No,Annual Billing
9215,M,66,S,0,Yes,Yes,2,No,Bank Transfer
7637,F,65,M,0,No,Yes,1,No,Bank Transfer
9633,F,55,S,0,Yes,Yes,2,Yes,Annual Billing
9791,M,30,S,0,Yes,Yes,3,No,Bank Transfer
7209,F,57,M,2,No,Yes,5,Yes,Annual Billing
1718,M,43,M,0,Yes,Yes,1,No,Annual Billing
4663,M,57,S,0,Yes,Yes,1,Yes,Annual Billing
9799,F,32,S,0,Yes,No,0,No,Bank Transfer
7556,M,37,S,0,No,Yes,3,No,Bank Transfer
3943,M,21,S,0,Yes,No,0,Yes,Annual Billing
6233,F,56,M,0,Yes,Yes,1,Yes,Annual Billing
3641,M,16,S,0,Yes,No,0,No,Bank Transfer
8906,F,50,M,0,Yes,Yes,2,Yes,Bank Transfer
6150,F,36,M,0,Yes,Yes,3,Yes,Bank Transfer
3817,M,44,M,0,Yes,Yes,2,No,Annual Billing
2486,F,33,S,1,Yes,Yes,3,No,Bank Transfer
5560,M,62,S,0,Yes,Yes,5,No,Bank Transfer
1583,M,38,S,0,Yes,Yes,3,No,Bank Transfer
2538,F,56,S,0,Yes,Yes,1,No,Annual Billing
3478,M,55,S,0,Yes,Yes,1,No,Annual Billing
3587,F,26,M,0,Yes,No,0,No,Monthly Billing
1625,M,42,S,0,Yes,Yes,1,No,Bank Transfer
1292,F,46,M,0,Yes,Yes,1,Yes,Bank Transfer
2797,M,35,M,2,Yes,No,2,Yes,Bank Transfer
9899,M,23,M,0,Yes,No,0,No,Bank Transfer
5511,F,42,S,0,No,Yes,2,No,Annual Billing
7353,F,77,M,0,Yes,Yes,1,No,Monthly Billing
7252,F,46,M,0,No,Yes,2,Yes,Bank Transfer
1777,F,59,S,0,Yes,Yes,3,Yes,Annual Billing
9984,F,24,M,2,No,Yes,4,Yes,Monthly Billing
2078,F,24,S,0,Yes,No,0,Yes,Annual Billing
